numero_ley,resumen,url
11338,"ESTABLECE UN SISTEMA DE CONTROL DE PRECURSORES U OTROS PRODUCTOS QUíMICOS, QUE PUEDAN SER UTILIZADOS EN EL PREPARADO DE ESTUPEFACIENTES, SUSTANCIAS PSICOTRóPICAS U OTRAS DE EFECTOS SEMEJANTES. (DROGAS)",https://normas.gba.gob.ar/ar-b/ley/1992/11338/5484
8549,"DONANDO AL CLUB LUJAN, FRACCION DE TIERRA FISCAL.(CONSTRUCCIóN DE UN COMPLEJO DEPORTIVO)",https://normas.gba.gob.ar/ar-b/ley/1975/8549/6863
14020,"RADICA EL TRIBUNAL DE TRABAJO Nº 7 DE SAN ISIDRO EN LA CIUDAD DE PILAR. MODIFICA LA LEY 5827, ORGáNICA DEL PODER JUDICIAL.",https://normas.gba.gob.ar/ar-b/ley/2009/14020/2842
5719,DECLARACION DE CIUDAD DEL PUEBLO DE FLORENCIO VARELA.,https://normas.gba.gob.ar/ar-b/ley/1953/5719/9538
12730,"DECLáRANSE DE UTILIDAD PúBLICA Y SUJETOS A EXPROPIACIóN INMUEBLES UBICADOS EN EL PARTIDO DE FLORENCIO VáRELA, CON DESTINO A LA ESCUELA N° 10 PARA EL FUNCIONAMIENTO DE UN CAMPO DE DEPORTES.",https://normas.gba.gob.ar/ar-b/ley/2001/12730/4123
1491,IMPRESION DEL REGISTRO ESTADISTICO.,https://normas.gba.gob.ar/ar-b/ley/1882/1491/15931
7115,(DEROGADA POR DEC-LEY 10040/83) AUTORIZASE REUNION HIPICA A BENEFICIO DEL CIRCULO DE PERIODISTAS DE LA PROVINCIA DE BUENOS AIRES.  (DEROGA LEY 7066),https://normas.gba.gob.ar/ar-b/ley/1965/7115/8164
1495,PENSION A LA VIUDA E HIJAS DE CARLOS ENCINA.,https://normas.gba.gob.ar/ar-b/ley/1882/1495/11766
4325,MODIFICANDO LA LEY ELECTORAL 4316.,https://normas.gba.gob.ar/ar-b/ley/1935/4325/10866
11334,"MODIFICA EL DEC-LEY 9688/81, ESCALAFON DE INVESTIGADOR CIENTIFICO.",https://normas.gba.gob.ar/ar-b/ley/1992/11334/5492
5718,DECLáRASE TERMINADA LA MISIóN ENCOMENDADA A LA COMISIóN BICAMERAL CREADA POR LA LEY 5100 DE 30 DE OCTUBRE DE 1946.,https://normas.gba.gob.ar/ar-b/ley/1953/5718/9537
1496,SE AUTORIZA AL FERROCARRIL OESTE CONTRATAR UN  EMPRESTITO DE 10 MILLONES DE PESOS FUERTES PARA NUEVAS VIAS FERREAS.,https://normas.gba.gob.ar/ar-b/ley/1882/1496/11782
7113,"AUTORIZACIóN A LA MUNICIPALIDAD DE GENERAL MADARIAGA, PARA DESTINAR LA CONTRIBUCIóN ACORDADA POR LEY 6789 EN LA ADQUISICIóN DE UN CAMIóN VOLCADOR.",https://normas.gba.gob.ar/ar-b/ley/1965/7113/8162
12731,ARBITRAR MEDIOS NECESARIOS PARA QUE EN CADA LUGAR DE VOTACIóN FUNCIONE UN áMBITO DONDE LOS CIUDADANOS PUEDAN EXPRESAR SU VOLUNTAD DE INCORPORARSE AL REGISTRO DE DONANTES PARA LA ABLACIóN DE óRGANOS.(TRANSPLANTES-TRASPLANTES-CUCAIBA-ELECCIONES-DONANTES),https://normas.gba.gob.ar/ar-b/ley/2001/12731/4124
7114,SE ACUERDA PENSION GRACIABLE A LA SEÑORA ISABEL COCERES DE FREYRE.,https://normas.gba.gob.ar/ar-b/ley/1965/7114/8163
8548,"IMPONIENDO NOMBRE A HOSPITAL EN ROQUE PEREZ ""PROFESOR DR. RAMON CARRILLO"".",https://normas.gba.gob.ar/ar-b/ley/1975/8548/6862
2939,"CREACIóN DE LOS PUESTOS DE ALCAIDE DE LA PENITENCIARíA Y CáRCEL DE LA PLATA, PARA 1905.",https://normas.gba.gob.ar/ar-b/ley/1905/2939/14449
8547,"(DEROGADA POR LEY 9041) DONANDO A LA MUNICIPALIDAD DE RAMALLO, FRACCIONES DE TIERRA FISCAL PARA EMPLAZAMIENTO DE UN CENTRO DEPORTIVO UTILIZADO POR ESTABLECIMIENTO EDUCACIONAL.",https://normas.gba.gob.ar/ar-b/ley/1975/8547/6861
5717,AMPLIACION DE PARTIDAS DEL PRESUPUESTO PARA 1953 DE LA MUNICIPALIDAD DE EVA PERON.,https://normas.gba.gob.ar/ar-b/ley/1953/5717/9539
11333,DECLáRASE DE UTILIDAD PúBLICA Y SUJETA A EXPROPIACIóN UNA FRACCIóN DE TERRENO UBICADA EN EL PARTIDO DE SAN VICENTE DESTINADA PARA CONSTRUCCIóN DE UN ESTADIO POLIDEPORTIVO.,https://normas.gba.gob.ar/ar-b/ley/1992/11333/5491
4328,SUBSIDIO MENSUAL A LA SALA DE PRIMEROS AUXILIOS DE MARCOS PAZ.,https://normas.gba.gob.ar/ar-b/ley/1935/4328/10860
11332,"DECLáRASE DE INTERéS PROVINCIAL POR MEDIO DE LA PRESENTE LEY, AL PROGRAMA ASER (COMUNIDAD TERAPéUTICA DE REHABILITACIóN DE DROGADEPENDIENTES - ADICCIONES).",https://normas.gba.gob.ar/ar-b/ley/1992/11332/5490
5721,DONACIÓN DE UNA PROPIEDAD AL CLUB ESPAÑOL DE LA CIUDAD DE EVA PERON.,https://normas.gba.gob.ar/ar-b/ley/1953/5721/9536
8552,"DONANDO AL INSTITUTO DE PSICOPEDAGOGIA ESPECIAL DE LA PLATA, INMUEBLE FISCAL.(INSTALACIóN Y FUNCIONAMIENTO DE UNA ESCUELA DIFE­RENCIADA)",https://normas.gba.gob.ar/ar-b/ley/1975/8552/6888
